Table 1
Baseline Information,,,,
First Name,,,,
Last Name,,,,
Birth Year,,,,
Birthplace,,,,
Death Year,,,,
,,,,
Census Data,,,,
Census Year,1830,,,
Age,,,,
Birth year,,,,
Gender,,,,
Race,,,,
Birthplace,,,,
Marital Status,,,,
Relation to HH Head,,,,
Home Location,,,,
Father Birthplace,,,,
Mother Birthplace,,,,
Occupation,,,,
Number of Household Members,,,,
,,,,
Census Year,1840,,,
Age,,,,
Birth year,,,,
Gender,,,,
Race,,,,
Birthplace,,,,
Marital Status,,,,
Relation to HH Head,,,,
Home Location,,,,
Father Birthplace,,,,
Mother Birthplace,,,,
Occupation,,,,
Number of Household Members,,,,
,,,,
Census Year,1850,,,
Age,,,,
Birth year,,,,
Gender,,,,
Race,,,,
Birthplace,,,,
Marital Status,,,,
Relation to HH Head,,,,
Home Location,,,,
Father Birthplace,,,,
Mother Birthplace,,,,
Occupation,,,,
Number of Household Members,,,,
,,,,
Census Year,1860,,,
Age,,,,
Birth year,,,,
Gender,,,,
Race,,,,
Birthplace,,,,
Marital Status,,,,
Relation to HH Head,,,,
Home Location,,,,
Father Birthplace,,,,
Mother Birthplace,,,,
Occupation,,,,
Number of Household Members,,,,
,,,,
Census Year,1870,,,
Age,,,,
Birth year,,,,
Gender,,,,
Race,,,,
Birthplace,,,,
Marital Status,,,,
Relation to HH Head,,,,
Home Location,,,,
Father Birthplace,,,,
Mother Birthplace,,,,
Occupation,,,,
Number of Household Members,,,,
,,,,
Census Year,1880,,,
Age,,,,
Birth year,,,,
Gender,,,,
Race,,,,
Birthplace,,,,
Marital Status,,,,
Relation to HH Head,,,,
Home Location,,,,
Father Birthplace,,,,
Mother Birthplace,,,,
Occupation,,,,
Number of Household Members,,,,
,,,,
Census Year,1900,,,
Age,,,,
Birth year,,,,
Gender,,,,
Race,,,,
Birthplace,,,,
Marital Status,,,,
Relation to HH Head,,,,
Home in 1900,,,,
Father Birthplace,,,,
Mother Birthplace,,,,
Marriage Year,,,,
Occupation,,,,
Class of Worker,,,,
Farm or House,,,,
Number of Household Members,,,,
,,,,
Census Year,1910,,,
Age,,,,
Birth year,,,,
Gender,,,,
Race,,,,
Birthplace,,,,
Marital Status,,,,
Relation to HH Head,,,,
Home in 1910,,,,
Father Birthplace,,,,
Mother Birthplace,,,,
Occupation,,,,
Industry,,,,
"Employer, Employee, or Other",,,,
Farm or House,,,,
Number of Household Members,,,,
,,,,
Census Year,1920,,,
Age,,,,
Birth year,,,,
Gender,,,,
Race,,,,
Birthplace,,,,
Marital Status,,,,
Relation to HH Head,,,,
Home Location,,,,
Father Birthplace,,,,
Mother Birthplace,,,,
Occupation,,,,
Class of Worker,,,,
Income,,,,
Usual Occupation,,,,
Number of Household Members,,,,
,,,,
Census Year,1930,,,
Age,,,,
Birth year,,,,
Gender,,,,
Race,,,,
Birthplace,,,,
Marital Status,,,,
Relation to HH Head,,,,
Home Location,,,,
Father Birthplace,,,,
Mother Birthplace,,,,
Occupation,,,,
Class of Worker,,,,
Able to Read and Write,,,,
Number of Household Members,,,,
,,,,
Census Year,1940,,,
Age,,,,
Birth year,,,,
Gender,,,,
Race,,,,
Birthplace,,,,
Marital Status,,,,
Relation to HH Head,,,,
Home in 1940,,,,
Father Birthplace,,,,
Mother Birthplace,,,,
Occupation,,,,
House Owned or Rented,,,,
Value of Home or Monthly Rental if Rented,,,,
Attended School or College,,,,
Highest Grade Completed,,,,
Class of Worker,,,,
Income,,,,
Number of Household Members,,,,
,,,,
Government Career,,,,
Year,,,,
Title,,,,
Office/Dept,,,,
Location,,,,
Where Born,,,,
Where Employed,,,,
Salary/Compensation,,,,
,,,,
Year,,,,
Title,,,,
Office/Dept,,,,
Location,,,,
Where Born,,,,
Where Employed,,,,
Salary/Compensation,,,,
,,,,
Year,,,,
Title,,,,
Office/Dept,,,,
Location,,,,
Where Born,,,,
Where Employed,,,,
Salary/Compensation,,,,
,,,,
Year,,,,
Title,,,,
Office/Dept,,,,
Location,,,,
Where Born,,,,
Where Employed,,,,
Salary/Compensation,,,,
,,,,
Year,,,,
Title,,,,
Office/Dept,,,,
Location,,,,
Where Born,,,,
Where Employed,,,,
Salary/Compensation,,,,
,,,,
Year,,,,
Title,,,,
Office/Dept,,,,
Location,,,,
Where Born,,,,
Where Employed,,,,
Salary/Compensation,,,,
